"rgn_id","year","producto","weight"
54,2021,"Algas",1
55,2017,"Algas",1
55,2018,"Algas",1
55,2020,"Algas",1
55,2021,"Algas",1
56,2018,"Algas",1
57,2017,"Algas",1
57,2018,"Algas",1
58,2017,"Aceite",0.076390482927106
58,2018,"Aceite",0.0945393071414564
58,2019,"Aceite",0.0331914606862128
58,2020,"Aceite",0.0371659937268748
58,2021,"Aceite",0.0915677145540752
58,2017,"Algas",0.116719029898141
58,2018,"Algas",0.0907611429096252
58,2019,"Algas",0.179688562686997
58,2020,"Algas",0.245847028281581
58,2021,"Algas",0.201938591823917
58,2017,"Harina",0.806890487174753
58,2018,"Harina",0.814699549948918
58,2019,"Harina",0.78711997662679
58,2020,"Harina",0.716986977991544
58,2021,"Harina",0.706493693622008
60,2017,"Algas",1
60,2019,"Algas",1
61,2017,"Algas",1
61,2018,"Algas",1
61,2019,"Algas",1
61,2020,"Algas",1
61,2021,"Algas",1
62,2017,"Algas",1
62,2018,"Algas",1
62,2019,"Algas",1
62,2020,"Algas",1
62,2021,"Algas",1
63,2017,"Algas",1
63,2018,"Algas",1
63,2019,"Algas",1
63,2020,"Algas",1
63,2021,"Algas",1
64,2017,"Algas",1
64,2018,"Algas",1
64,2019,"Algas",1
64,2020,"Algas",1
64,2021,"Algas",1
65,2018,"Algas",1
66,2017,"Algas",1
66,2018,"Algas",1
66,2019,"Algas",1
66,2020,"Algas",1
66,2021,"Algas",1
67,2017,"Algas",1
69,2017,"Algas",1
69,2018,"Algas",1
69,2019,"Algas",1
69,2020,"Algas",1
69,2021,"Algas",1
70,2017,"Aceite",0.230981956274051
70,2018,"Aceite",0.253516526315029
70,2019,"Aceite",0.0339279712010938
70,2020,"Aceite",0.0126711152183506
70,2021,"Aceite",0.0941829176463029
70,2017,"Algas",0.402375572635783
70,2018,"Algas",0.333284047336657
70,2019,"Algas",0.897559080483555
70,2020,"Algas",0.964607285014586
70,2021,"Algas",0.741596446924364
70,2017,"Harina",0.366642471090166
70,2018,"Harina",0.413199426348314
70,2019,"Harina",0.0685129483153512
70,2020,"Harina",0.0227215997670634
70,2021,"Harina",0.164220635429333
72,2017,"Algas",1
72,2018,"Algas",1
72,2019,"Algas",1
72,2020,"Algas",1
72,2021,"Algas",1
74,2017,"Algas",1
74,2018,"Algas",1
75,2017,"Algas",1
75,2018,"Algas",1
75,2019,"Algas",1
75,2020,"Algas",1
75,2021,"Algas",1
76,2017,"Algas",1
76,2018,"Algas",1
76,2019,"Algas",1
76,2020,"Algas",1
76,2021,"Algas",1
78,2017,"Algas",1
78,2018,"Algas",1
78,2019,"Algas",1
78,2020,"Algas",1
79,2017,"Algas",1
79,2018,"Algas",1
79,2019,"Algas",1
79,2020,"Algas",1
79,2021,"Algas",1
80,2017,"Algas",1
83,2017,"Aceite",0.156228067052199
83,2018,"Aceite",0.136019112300318
83,2019,"Aceite",0.140618873545877
83,2020,"Aceite",0.0575391350670126
83,2021,"Aceite",0
83,2017,"Algas",0.219866341407933
83,2018,"Algas",0.302733332121147
83,2019,"Algas",0.374765253396048
83,2020,"Algas",0.763100092983509
83,2021,"Algas",1
83,2017,"Harina",0.623905591539868
83,2018,"Harina",0.561247555578534
83,2019,"Harina",0.484615873058075
83,2020,"Harina",0.179360771949478
83,2021,"Harina",0
85,2017,"Algas",1
85,2018,"Algas",1
85,2019,"Algas",1
85,2020,"Algas",1
85,2021,"Algas",1
86,2017,"Algas",1
88,2017,"Aceite",0.168155959999796
88,2018,"Aceite",0.164797842448566
88,2019,"Aceite",0.184675002721267
88,2020,"Aceite",0.107518773892579
88,2021,"Aceite",0.130158398908048
88,2017,"Algas",0.406086307452862
88,2018,"Algas",0.403403686005032
88,2019,"Algas",0.399211222923233
88,2020,"Algas",0.600776815153834
88,2021,"Algas",0.583922872639452
88,2017,"Harina",0.425757732547342
88,2018,"Harina",0.431798471546403
88,2019,"Harina",0.416113774355501
88,2020,"Harina",0.291704410953587
88,2021,"Harina",0.2859187284525
89,2017,"Algas",1
89,2018,"Algas",1
89,2019,"Algas",1
89,2020,"Algas",1
89,2021,"Algas",1
92,2017,"Algas",1
92,2018,"Algas",1
92,2020,"Algas",1
92,2021,"Algas",1
93,2017,"Algas",1
93,2018,"Algas",1
93,2019,"Algas",1
93,2020,"Algas",1
93,2021,"Algas",1
95,2017,"Algas",1
95,2018,"Algas",1
95,2020,"Algas",1
95,2021,"Algas",1
99,2017,"Aceite",0.107370987537296
99,2018,"Aceite",0
99,2019,"Aceite",0.323462847009286
99,2020,"Aceite",0.30857314242607
99,2021,"Aceite",0.310993571630659
99,2017,"Algas",0.00059689443998972
99,2018,"Algas",0.000375242592142818
99,2019,"Algas",0.00152651784932361
99,2020,"Algas",0.00397722705447702
99,2021,"Algas",0.00183557976686906
99,2017,"Harina",0.892032118022715
99,2018,"Harina",0.999624757407857
99,2019,"Harina",0.675010635141391
99,2020,"Harina",0.687449630519453
99,2021,"Harina",0.687170848602472
100,2017,"Algas",1
100,2018,"Algas",1
100,2019,"Algas",1
100,2020,"Algas",1
100,2021,"Algas",1
101,2017,"Algas",1
101,2018,"Algas",1
101,2020,"Algas",1
101,2021,"Algas",1
103,2017,"Algas",1
103,2018,"Algas",1
103,2019,"Algas",1
