"rgn_id","producto","year","tonnes_rel"
99,"Aceite",2018,0
99,"Aceite",2019,0.924197384066587
99,"Aceite",2020,0.80499405469679
99,"Aceite",2021,1
99,"Algas",2017,0.5
99,"Algas",2018,0.294117647058824
99,"Algas",2019,0.441176470588235
99,"Algas",2020,1
99,"Algas",2021,0.544117647058823
99,"Harina",2017,0.972807785888078
99,"Harina",2018,1
99,"Harina",2019,0.293858880778589
99,"Harina",2020,0.277956204379562
99,"Harina",2021,0.348243309002433
100,"Algas",2017,0.226912928759894
100,"Algas",2018,0.226912928759894
100,"Algas",2019,0.368073878627968
100,"Algas",2020,0.815303430079156
100,"Algas",2021,1
101,"Algas",2017,1
101,"Algas",2018,0.262032085561497
101,"Algas",2020,0.336898395721925
101,"Algas",2021,0.128342245989305
103,"Algas",2017,0.25
103,"Algas",2018,0.75
103,"Algas",2019,1
