"rgn_id","species_code","year","tonnes"
59,1,2021,53882315
67,1,2021,1402499
70,1,2021,20055015
71,1,2021,5139207
72,1,2021,22756564
73,1,2021,13917321
74,1,2021,77171
75,1,2021,35726025
76,1,2021,31121838
77,1,2021,13109923
78,1,2021,33606119
81,1,2021,55572856
85,1,2021,86199
2,1,2022,6273036
6,1,2022,182297639
7,1,2022,440561
8,1,2022,58495535
16,1,2022,12993829
17,1,2022,38119025
20,1,2022,8315369
21,1,2022,160175362
23,1,2022,38454401
30,1,2022,2430642
31,1,2022,7119156
33,1,2022,15890285
38,1,2022,23591928
39,1,2022,68464777
47,1,2022,1536926
57,1,2022,575800
59,1,2022,62269006
67,1,2022,1206185
70,1,2022,70513991
71,1,2022,5192310
72,1,2022,2858127
73,1,2022,18031723
74,1,2022,113204
75,1,2022,16706567
76,1,2022,22192060
77,1,2022,62469941
78,1,2022,47429477
81,1,2022,91895200
85,1,2022,86435
2,2,2014,5356622
4,2,2014,19370
8,2,2014,46404122
13,2,2014,32790
16,2,2014,30367734
17,2,2014,3159622
20,2,2014,29291607
23,2,2014,6668092
30,2,2014,314940
31,2,2014,40868816
33,2,2014,50609282
39,2,2014,7415304
56,2,2014,3500
69,2,2014,0
70,2,2014,12686116
71,2,2014,54000
73,2,2014,10923800
75,2,2014,8236884
76,2,2014,21305017
77,2,2014,22272381
78,2,2014,29052797
82,2,2014,0
94,2,2014,23052
95,2,2014,6775
99,2,2014,20290
2,2,2015,8018111
4,2,2015,370
8,2,2015,55586455
13,2,2015,11634
16,2,2015,45562388
17,2,2015,3850821
20,2,2015,24865701
23,2,2015,6707624
30,2,2015,10890
31,2,2015,39153722
33,2,2015,38626928
39,2,2015,7044129
56,2,2015,4730
69,2,2015,1011
70,2,2015,21966273
71,2,2015,99200
73,2,2015,15355246
75,2,2015,9458553
76,2,2015,23818565
77,2,2015,18573428
78,2,2015,41579677
82,2,2015,0
94,2,2015,25128
95,2,2015,7290
99,2,2015,18500
2,2,2016,10388400
4,2,2016,1450
8,2,2016,74668668
13,2,2016,119941
16,2,2016,73827159
17,2,2016,4508327
20,2,2016,39467525
23,2,2016,6775816
30,2,2016,9000
31,2,2016,84713556
33,2,2016,51822087
39,2,2016,9179806
56,2,2016,2000
69,2,2016,0
70,2,2016,25983789
71,2,2016,52000
73,2,2016,21051843
75,2,2016,12005853
76,2,2016,25715523
77,2,2016,68579229
78,2,2016,66043409
82,2,2016,2780
94,2,2016,16722
95,2,2016,6299
99,2,2016,4500
2,2,2017,9868399
4,2,2017,385
8,2,2017,39690497
13,2,2017,92798
16,2,2017,49458670
17,2,2017,3707430
20,2,2017,24396425
23,2,2017,6432017
30,2,2017,7560
31,2,2017,42662797
33,2,2017,37042919
39,2,2017,5804201
56,2,2017,26550
69,2,2017,60
70,2,2017,23193874
71,2,2017,129650
73,2,2017,29402250
75,2,2017,8020717
76,2,2017,18190736
77,2,2017,17795204
78,2,2017,53115746
82,2,2017,33000
94,2,2017,18863
95,2,2017,2905
99,2,2017,5200
2,2,2018,7071925
4,2,2018,1515
8,2,2018,50817479
13,2,2018,101541
16,2,2018,45879934
17,2,2018,6059582
20,2,2018,31244091
23,2,2018,8368247
30,2,2018,600
31,2,2018,40511793
33,2,2018,34370492
39,2,2018,13662670
56,2,2018,12640
69,2,2018,1212
70,2,2018,23340206
71,2,2018,99000
73,2,2018,25517646
75,2,2018,12457934
76,2,2018,37526421
77,2,2018,21061444
78,2,2018,43634923
82,2,2018,24150
94,2,2018,16570
95,2,2018,3545
99,2,2018,24335
2,2,2019,12565971
4,2,2019,2504
8,2,2019,54435486
13,2,2019,80937
16,2,2019,40372136
17,2,2019,4071360
20,2,2019,23920665
23,2,2019,12291587
30,2,2019,9405
31,2,2019,32255916
33,2,2019,43151595
39,2,2019,11766161
56,2,2019,6440
69,2,2019,50
70,2,2019,24823625
71,2,2019,87000
73,2,2019,30183001
75,2,2019,10958249
76,2,2019,17876317
77,2,2019,20976198
78,2,2019,41083808
82,2,2019,21200
94,2,2019,13549
95,2,2019,2216
99,2,2019,13350
2,2,2020,8291344
4,2,2020,900
8,2,2020,44400542
13,2,2020,44455
16,2,2020,54225991
17,2,2020,7336565
20,2,2020,29667304
23,2,2020,10381529
30,2,2020,720
31,2,2020,50064689
33,2,2020,46500453
39,2,2020,12351035
56,2,2020,450
69,2,2020,4872
70,2,2020,30248834
71,2,2020,30000
73,2,2020,37621688
75,2,2020,11515520
76,2,2020,21340407
77,2,2020,18552342
78,2,2020,55334331
82,2,2020,20650
94,2,2020,10398
95,2,2020,338
99,2,2020,19660
2,2,2021,10326117
4,2,2021,0
8,2,2021,54028084
13,2,2021,36596
16,2,2021,58346076
17,2,2021,6089797
20,2,2021,40012817
23,2,2021,12366141
30,2,2021,1200
31,2,2021,54091142
33,2,2021,40789293
39,2,2021,14077463
56,2,2021,500
69,2,2021,4089
70,2,2021,37728671
71,2,2021,30000
73,2,2021,41155918
75,2,2021,10577430
76,2,2021,14086172
77,2,2021,23300343
78,2,2021,58036647
82,2,2021,17500
94,2,2021,17490
95,2,2021,409
99,2,2021,26936
2,2,2022,9808364
4,2,2022,0
8,2,2022,73870778
13,2,2022,42058
16,2,2022,43029997
17,2,2022,4745950
20,2,2022,23878428
23,2,2022,9759212
30,2,2022,1720
31,2,2022,53761576
33,2,2022,46881247
39,2,2022,18446828
56,2,2022,62950
69,2,2022,0
70,2,2022,32679468
71,2,2022,68000
73,2,2022,32969558
75,2,2022,10105900
76,2,2022,34303627
77,2,2022,19124409
78,2,2022,48396132
82,2,2022,14688
94,2,2022,66957
95,2,2022,711
99,2,2022,29810
2,3,2014,198343
4,3,2014,1050
8,3,2014,58290
9,3,2014,0
18,3,2014,0
28,3,2014,32156
30,3,2014,0
31,3,2014,0
43,3,2014,2760
57,3,2014,2115
66,3,2014,0
75,3,2014,0
89,3,2014,0
94,3,2014,3139
95,3,2014,0
2,3,2015,177396
4,3,2015,600
8,3,2015,64485
9,3,2015,0
18,3,2015,0
28,3,2015,27481
30,3,2015,0
31,3,2015,0
43,3,2015,2672
57,3,2015,1116
66,3,2015,170
75,3,2015,1770
89,3,2015,0
94,3,2015,2849
95,3,2015,53
2,3,2016,207058
4,3,2016,1010
8,3,2016,53471
9,3,2016,300
18,3,2016,0
28,3,2016,27810
30,3,2016,0
31,3,2016,0
43,3,2016,3150
57,3,2016,3230
66,3,2016,11
75,3,2016,6960
89,3,2016,0
94,3,2016,3828
95,3,2016,371
2,3,2017,354694
4,3,2017,422
8,3,2017,44107
9,3,2017,220
18,3,2017,0
28,3,2017,24855
30,3,2017,0
31,3,2017,0
43,3,2017,1359
57,3,2017,4695
66,3,2017,0
75,3,2017,0
89,3,2017,0
94,3,2017,4735
95,3,2017,1760
2,3,2018,340370
4,3,2018,247
8,3,2018,41881
9,3,2018,0
18,3,2018,0
28,3,2018,233870
30,3,2018,0
31,3,2018,100
43,3,2018,954
57,3,2018,3188
66,3,2018,3299
75,3,2018,0
89,3,2018,0
94,3,2018,4852
95,3,2018,2338
2,3,2019,310075
4,3,2019,86
8,3,2019,34434
9,3,2019,451
18,3,2019,0
28,3,2019,429920
30,3,2019,280
31,3,2019,390
43,3,2019,1000
57,3,2019,1390
66,3,2019,2395
75,3,2019,30
89,3,2019,0
94,3,2019,3754
95,3,2019,3014
2,3,2020,313073
4,3,2020,101800
8,3,2020,28794
9,3,2020,249
18,3,2020,405
28,3,2020,286781
30,3,2020,544
31,3,2020,9210
43,3,2020,399
57,3,2020,299
66,3,2020,2003
75,3,2020,20
89,3,2020,30
94,3,2020,2738
95,3,2020,2751
2,3,2021,378280
4,3,2021,0
8,3,2021,40397
9,3,2021,103
18,3,2021,80
28,3,2021,201851
30,3,2021,2491
31,3,2021,6400
43,3,2021,485
57,3,2021,373
66,3,2021,3214
75,3,2021,70
89,3,2021,1720
94,3,2021,1913
95,3,2021,4427
2,3,2022,311573
4,3,2022,0
8,3,2022,108154
9,3,2022,37
18,3,2022,1253
28,3,2022,15674
30,3,2022,938
31,3,2022,0
43,3,2022,180
57,3,2022,0
66,3,2022,0
75,3,2022,0
89,3,2022,41
94,3,2022,786
95,3,2022,2838
9,4,2014,473028
16,4,2014,179655
28,4,2014,129976
33,4,2014,171956
35,4,2014,27320
45,4,2014,125026
75,4,2014,65553
76,4,2014,7364
9,4,2015,500797
16,4,2015,237490
28,4,2015,55052
33,4,2015,181792
35,4,2015,40169
45,4,2015,133595
75,4,2015,65199
76,4,2015,4662
9,4,2016,504095
16,4,2016,343906
28,4,2016,25994
33,4,2016,219962
35,4,2016,37620
45,4,2016,124117
75,4,2016,98172
76,4,2016,10804
9,4,2017,340748
16,4,2017,195743
