"rgn_id","sector","year","wage_usd"
70,"Alojamiento",2018,5485077.7376
70,"Pesca",2018,237178374.1616
70,"Transporte",2018,520715107.2816
70,"Turismo",2018,4737669.8912
71,"Acuicultura",2018,562552785.448
71,"Alojamiento",2018,2732323.9568
71,"Transporte",2018,365535.5904
71,"Turismo",2018,4852885.736
72,"Acuicultura",2018,9476198.0688
72,"Alojamiento",2018,5279158.24
72,"Pesca",2018,79400443.9856
72,"Transporte",2018,1430441.5152
72,"Turismo",2018,6749960.3472
73,"Acuicultura",2018,0
73,"Alojamiento",2018,600064.0352
75,"Acuicultura",2018,2392317.104
75,"Pesca",2018,2498254.5536
76,"Acuicultura",2018,476179497.76
76,"Alojamiento",2018,606469.0368
76,"Pesca",2018,43264914.0336
76,"Transporte",2018,15857726.0528
78,"Acuicultura",2018,4641662.3072
78,"Transporte",2018,0
79,"Alojamiento",2018,223766.3696
79,"Pesca",2018,700941.6864
83,"Alojamiento",2018,831756.8528
83,"Pesca",2018,75980682.528
85,"Alojamiento",2018,115524.2704
86,"Alojamiento",2018,7688263.408
86,"Turismo",2018,7066727.376
88,"Alojamiento",2018,329816.2192
88,"Pesca",2018,44715133.4528
89,"Alojamiento",2018,398653.576
89,"Pesca",2018,0
92,"Alojamiento",2018,155647.9232
93,"Acuicultura",2018,0
93,"Alojamiento",2018,411901.04
94,"Pesca",2018,87340.6448
95,"Alojamiento",2018,371613.2832
95,"Pesca",2018,0
99,"Acuicultura",2018,0
99,"Alojamiento",2018,7371561.5712
99,"Pesca",2018,20469524.5792
99,"Transporte",2018,5178709.9568
99,"Turismo",2018,851640.8624
100,"Alojamiento",2018,5082634.9328
100,"Pesca",2018,2241902.9744
100,"Transporte",2018,252355386.9312
100,"Turismo",2018,7173556.3824
102,"Alojamiento",2018,5901135.7792
102,"Turismo",2018,23727485.7872
1,"Alojamiento",2019,273193.5952
2,"Acuicultura",2019,25360812
2,"Alojamiento",2019,1416888.3232
2,"Pesca",2019,5817662.5936
3,"Alojamiento",2019,15132067.6064
3,"Turismo",2019,1427701.6528
4,"Alojamiento",2019,3066270.2016
4,"Pesca",2019,771627.3488
5,"Alojamiento",2019,1852922.5424
5,"Pesca",2019,20073468.3424
5,"Turismo",2019,2355222.856
6,"Acuicultura",2019,20543308.4352
6,"Alojamiento",2019,2008097.936
6,"Pesca",2019,1475829.984
6,"Transporte",2019,9239458.0416
6,"Turismo",2019,164530.6704
7,"Pesca",2019,3783590.816
8,"Acuicultura",2019,103039685.432
8,"Alojamiento",2019,0
8,"Pesca",2019,1244851.5808
8,"Transporte",2019,2713171.896
9,"Acuicultura",2019,3275959.5952
9,"Alojamiento",2019,460901.5952
9,"Pesca",2019,12306781.2064
12,"Alojamiento",2019,189443.9056
