"rgn_id","habitat","year","area_km2"
68,"Marismas y humedales",2017,31.6
68,"Playas y dunas",2017,22.1
69,"Macrocystis",2017,0.0144050148210504
69,"Bosques y matorrales",2017,11.59
69,"Marismas y humedales",2017,7.66
69,"Playas y dunas",2017,3.6
70,"Macrocystis",2017,0.46001049000113
70,"Bosques y matorrales",2017,80.92
70,"Marismas y humedales",2017,0.93
70,"Playas y dunas",2017,7.44
71,"Macrocystis",2017,0.00696149528086362
71,"Bosques y matorrales",2017,80.92
71,"Marismas y humedales",2017,0.93
71,"Playas y dunas",2017,9.44
72,"Macrocystis",2017,86.7774849128814
72,"Bosques y matorrales",2017,3107.26
72,"Marismas y humedales",2017,1910.64
72,"Playas y dunas",2017,65.08
73,"Macrocystis",2017,0.283267381991035
73,"Bosques y matorrales",2017,63.4
73,"Marismas y humedales",2017,0.5
73,"Playas y dunas",2017,7.06
74,"Macrocystis",2017,0.128583312720454
74,"Bosques y matorrales",2017,51.04
74,"Marismas y humedales",2017,0.03
74,"Playas y dunas",2017,0.09
75,"Macrocystis",2017,5.38352714453809
75,"Bosques y matorrales",2017,163.99
75,"Marismas y humedales",2017,0.77
75,"Playas y dunas",2017,0.95
76,"Macrocystis",2017,7.53489842334846
76,"Bosques y matorrales",2017,537.42
76,"Marismas y humedales",2017,7.63
76,"Playas y dunas",2017,2.02
77,"Macrocystis",2017,0.654451308312392
77,"Bosques y matorrales",2017,146.45
77,"Marismas y humedales",2017,1.51
77,"Playas y dunas",2017,0.45
78,"Macrocystis",2017,2.06241803564153
78,"Bosques y matorrales",2017,84.68
78,"Marismas y humedales",2017,0.21
78,"Playas y dunas",2017,0.28
79,"Macrocystis",2017,0.00370599672847822
79,"Bosques y matorrales",2017,7.68
79,"Marismas y humedales",2017,7.4
79,"Playas y dunas",2017,9.11
80,"Macrocystis",2017,0.0593242237528333
80,"Bosques y matorrales",2017,33.44
80,"Marismas y humedales",2017,0.14
80,"Playas y dunas",2017,0.23
81,"Macrocystis",2017,6.39751343061557
81,"Bosques y matorrales",2017,1279.42
81,"Marismas y humedales",2017,487.74
81,"Playas y dunas",2017,4.7
82,"Macrocystis",2017,0.00360353788380141
82,"Bosques y matorrales",2017,18.4
82,"Marismas y humedales",2017,0.7
82,"Playas y dunas",2017,0.5
83,"Macrocystis",2017,0.000917771666435801
83,"Bosques y matorrales",2017,1.78
83,"Marismas y humedales",2017,0
83,"Playas y dunas",2017,1.37
84,"Macrocystis",2017,2.10679380559439
84,"Bosques y matorrales",2017,
84,"Marismas y humedales",2017,
84,"Playas y dunas",2017,
85,"Macrocystis",2017,0.191736030516035
85,"Bosques y matorrales",2017,80.7
85,"Marismas y humedales",2017,0.4
85,"Playas y dunas",2017,0.48
86,"Macrocystis",2017,0.000422416454166854
86,"Bosques y matorrales",2017,2
86,"Marismas y humedales",2017,2.25
86,"Playas y dunas",2017,1.35
87,"Macrocystis",2017,0.000911902300189063
87,"Bosques y matorrales",2017,34.73
87,"Marismas y humedales",2017,13.53
87,"Playas y dunas",2017,9.42
88,"Macrocystis",2017,0.0620677991795228
88,"Bosques y matorrales",2017,34.58
88,"Marismas y humedales",2017,3.65
88,"Playas y dunas",2017,1.75
89,"Macrocystis",2017,0.0790023091160129
89,"Bosques y matorrales",2017,9.72
89,"Marismas y humedales",2017,2.7
89,"Playas y dunas",2017,365.9
90,"Macrocystis",2017,0.00278385600949224
90,"Bosques y matorrales",2017,28.09
90,"Marismas y humedales",2017,2.56
90,"Playas y dunas",2017,0.8
91,"Macrocystis",2017,10.5954105689427
91,"Bosques y matorrales",2017,627.54
91,"Marismas y humedales",2017,168.9
91,"Playas y dunas",2017,3.07
92,"Macrocystis",2017,0.154652916654142
92,"Bosques y matorrales",2017,54.42
92,"Marismas y humedales",2017,10.47
92,"Playas y dunas",2017,2.79
93,"Macrocystis",2017,0.357222638105589
93,"Bosques y matorrales",2017,2.19
93,"Marismas y humedales",2017,3.7
93,"Playas y dunas",2017,271
94,"Macrocystis",2017,0.0143564351059784
94,"Bosques y matorrales",2017,21.41
94,"Marismas y humedales",2017,0.94
94,"Playas y dunas",2017,0.5
95,"Macrocystis",2017,0.109462929526403
95,"Bosques y matorrales",2017,56.19
95,"Marismas y humedales",2017,1.4
95,"Playas y dunas",2017,0.28
96,"Macrocystis",2017,0.0847282119008835
96,"Bosques y matorrales",2017,43.63
96,"Marismas y humedales",2017,5.96
96,"Playas y dunas",2017,0.17
