"rgn_id","specie","trend"
6,"Thalassarche melanophris","Estable"
6,"Thalassarche salvini","Creciendo"
6,"Tursiops truncatus","Decreciendo"
6,"Vultur gryphus","Estable"
7,"Ameghinomya antiqua","Estable"
7,"Aulacomya atra","Estable"
7,"Balaenoptera borealis","Creciendo"
7,"Charadrius modestus","Decreciendo"
7,"Chloephaga hybrida","Decreciendo"
7,"Coscoroba coscoroba","Decreciendo"
7,"Cygnus melancoryphus","Decreciendo"
7,"Diomedea epomophora","Decreciendo"
7,"Diomedea exulans","Estable"
7,"Dissostichus eleginoides","Creciendo"
7,"Durvillaea antarctica","Estable"
7,"Eleginops maclovinus","Decreciendo"
7,"Ensis macha","Estable"
7,"Enteroctopus megalocyathus","Decreciendo"
7,"Eubalaena australis","Decreciendo"
7,"Falco peregrinus","Estable"
7,"Geranoaetus melanoleucus","Estable"
7,"Haematopus palliatus","Estable"
7,"Hydrurga leptonyx","Estable"
7,"Lagenorhynchus australis","Estable"
7,"Lagenorhynchus cruciger","Decreciendo"
7,"Lagenorhynchus obscurus","Estable"
7,"Leptonychotes weddellii","Decreciendo"
7,"Leucophaeus pipixcan","Decreciendo"
7,"Lobodon carcinophaga","Creciendo"
7,"Loxechinus albus","Decreciendo"
7,"Macronectes giganteus","Decreciendo"
7,"Megaptera novaeangliae","Creciendo"
7,"Merluccius australis","Estable"
7,"Mirounga leonina","Creciendo"
7,"Mulinia edulis","Estable"
7,"Mytilus chilensis","Estable"
7,"Numenius phaeopus","Estable"
7,"Otaria byronia","Estable"
7,"Phoebetria palpebrata","Decreciendo"
7,"Phoenicopterus chilensis","Estable"
7,"Primnoella chilensis","Estable"
7,"Puffinus creatopus","Decreciendo"
7,"Puffinus griseus","Decreciendo"
7,"Speculanas specularis","Decreciendo"
7,"Tachyeres patachonicus","Estable"
7,"Tachyeres pteneres","Decreciendo"
7,"Tawera elliptica","Decreciendo"
7,"Thalassarche cauta","Estable"
7,"Thalassarche chrysostoma","Estable"
7,"Thalassarche melanophris","Estable"
7,"Tringa flavipes","Estable"
7,"Vultur gryphus","Estable"
8,"Ameghinomya antiqua","Estable"
8,"Aulacomya atra","Estable"
8,"Charadrius collaris","Decreciendo"
8,"Charadrius modestus","Decreciendo"
8,"Chloephaga hybrida","Decreciendo"
8,"Coscoroba coscoroba","Decreciendo"
