"rgn_id","spp","catch","year"
2,"PIURE",3,2013
2,"PIURE",30,2016
2,"PIURE",27,2017
2,"PIURE",5,2018
2,"PIURE",8,2019
2,"ALMEJA",151,2014
2,"ALMEJA",833,2015
2,"ALMEJA",938,2016
2,"ALMEJA",863,2017
2,"ALMEJA",1383,2018
2,"ALMEJA",1123,2019
2,"ALMEJA",764,2020
2,"ANCHOVETA",729,2012
2,"CENTOLLA",90,2020
2,"CHANCHARRO",7,2020
2,"CHOLGA",34,2016
2,"CHOLGA",66,2018
2,"CHOLGA",1,2020
2,"CHORITO",59,2020
2,"CHORO",171,2016
2,"COCHAYUYO",43,2014
2,"COCHAYUYO",130,2018
2,"CORVINA",12,2020
2,"CULENGUE",69,2014
2,"CULENGUE",3,2016
2,"CULENGUE",103,2017
2,"CULENGUE",120,2018
2,"ERIZO",194,2012
2,"RAYA VOLANTIN",6,2020
2,"RAYA VOLANTIN",9,2021
2,"REINETA",1,2015
2,"REINETA",5,2017
2,"REINETA",5,2018
2,"REINETA",4,2019
2,"JAIBA PANCHOTE O CANGREJO",14,2020
2,"LOCO",318,2020
2,"LUGA-ROJA",258,2017
2,"LUGA-ROJA",239,2018
2,"LUGA CUCHARA O CORTA",941,2014
2,"LUGA NEGRA O CRESPA",3387,2013
2,"LUGA NEGRA O CRESPA",1190,2014
2,"ALMEJA",224,2012
2,"ALMEJA",114,2013
2,"ALMEJA",205,2014
2,"ALMEJA",838,2015
2,"ALMEJA",946,2016
2,"ALMEJA",870,2017
2,"SIERRA",14,2013
2,"SIERRA",97,2014
2,"SIERRA",40,2015
2,"SIERRA",1,2018
2,"MERLUZA DEL SUR O AUSTRAL",156,2014
2,"MERLUZA DEL SUR O AUSTRAL",319,2015
2,"MERLUZA DEL SUR O AUSTRAL",272,2016
2,"MERLUZA DEL SUR O AUSTRAL",152,2017
2,"MERLUZA DEL SUR O AUSTRAL",202,2018
2,"MERLUZA DEL SUR O AUSTRAL",160,2019
2,"MERLUZA DEL SUR O AUSTRAL",104,2020
2,"MERLUZA DEL SUR O AUSTRAL",67,2021
2,"NAVAJUELA",61,2012
2,"NAVAJUELA",145,2013
2,"NAVAJUELA",3,2014
2,"NAVAJUELA",1,2015
2,"NAVAJUELA",7,2017
2,"NAVAJUELA",60,2018
2,"NAVAJUELA",6,2019
2,"RAYA VOLANTIN",10,2018
2,"RAYA VOLANTIN",16,2019
2,"ROLLIZO",1,2014
2,"ROLLIZO",2,2015
2,"ROLLIZO",7,2016
2,"ROLLIZO",6,2017
2,"ROLLIZO",14,2018
2,"PIURE",6,2020
2,"REINETA",12,2020
2,"REINETA",7,2021
2,"ROBALO",3,2015
2,"ROBALO",5,2016
2,"ROBALO",2,2017
2,"ROBALO",2,2019
2,"ROBALO",1,2020
2,"PULPO DEL SUR",319,2017
2,"PULPO DEL SUR",271,2018
2,"PULPO DEL SUR",225,2019
2,"PULPO DEL SUR",66,2020
2,"PULPO DEL SUR",110,2021
2,"RAYA ESPINOSA",3,2016
2,"PIURE",4,2021
2,"PULPO",30,2012
2,"PULPO DEL SUR",263,2012
2,"PULPO DEL SUR",204,2013
2,"PULPO DEL SUR",64,2014
2,"PULPO DEL SUR",81,2015
2,"PULPO DEL SUR",32,2016
2,"TAQUILLA",19,2015
2,"TAQUILLA",31,2017
2,"RAYA ESPINOSA",5,2018
2,"RAYA ESPINOSA",6,2019
2,"RAYA ESPINOSA",1,2021
2,"RAYA VOLANTIN",2,2012
2,"RAYA VOLANTIN",12,2013
2,"RAYA VOLANTIN",8,2016
2,"TAQUILLA",5,2013
2,"SIERRA",12,2012
2,"ROLLIZO",8,2019
2,"ROLLIZO",6,2020
3,"ALBACORA O PEZ ESPADA / IVI HEHEU",10,2017
3,"ALBACORA O PEZ ESPADA / IVI HEHEU",340,2020
3,"ALBACORA O PEZ ESPADA / IVI HEHEU",412,2016
3,"ALBACORA O PEZ ESPADA / IVI HEHEU",375,2018
3,"ALBACORA O PEZ ESPADA / IVI HEHEU",795,2019
