"rgn_id","year","fis","mar","total","w_fis"
42,2018,235,NA,235,1
42,2019,218,NA,218,1
42,2020,333,NA,333,1
42,2021,242,NA,242,1
43,2017,22116,1.359,22117.359,0.999938555050809
43,2018,20911,0.954,20911.954,0.999954380159788
43,2019,36675,1,36676,0.999972734213109
43,2020,49701,0.399,49701.399,0.999991972056964
43,2021,104470,0.485,104470.485,0.999995357540457
44,2017,1460,NA,1460,1
44,2018,1655,NA,1655,1
44,2019,1861,NA,1861,1
44,2020,1284,NA,1284,1
44,2021,1167,NA,1167,1
45,2017,126,145.875,271.875,0.463448275862069
45,2018,88,167.386,255.386,0.344576445067466
45,2019,95,145.672,240.672,0.394728094668262
45,2020,391,125.552,516.552,0.756942185878672
45,2021,471,123.904,594.904,0.791724379059478
47,2020,1,1554.53,1555.53,0.000642867704255141
47,2021,4,1448.482,1452.482,0.00275390676097879
49,2017,112525,NA,112525,1
49,2018,124948,NA,124948,1
49,2019,68322,NA,68322,1
49,2020,114267,NA,114267,1
49,2021,97554,NA,97554,1
50,2017,2371,NA,2371,1
50,2018,4577,NA,4577,1
50,2019,3825,NA,3825,1
50,2020,10546,NA,10546,1
50,2021,15570,NA,15570,1
51,2018,1,NA,1,1
51,2019,1,NA,1,1
51,2020,1,NA,1,1
53,2017,315,NA,315,1
53,2018,273,NA,273,1
53,2019,143,NA,143,1
53,2020,190,NA,190,1
53,2021,141,NA,141,1
54,2017,1409,NA,1409,1
54,2018,1784,NA,1784,1
54,2019,648,NA,648,1
54,2020,1239,NA,1239,1
54,2021,1478,NA,1478,1
55,2017,78362,NA,78362,1
55,2018,54377,NA,54377,1
55,2019,74822,NA,74822,1
55,2020,71924,NA,71924,1
55,2021,91643,NA,91643,1
56,2017,599,26.55,625.55,0.957557349532412
56,2018,1236,12.64,1248.64,0.989876986160943
56,2019,949,6.44,955.44,0.993259650004186
56,2020,1104,0.45,1104.45,0.999592557381502
56,2021,1320,0.5,1320.5,0.999621355547141
57,2017,8750,129.462,8879.462,0.985420062611902
57,2018,10511,303.957,10814.957,0.971894756493253
57,2019,9183,321.252,9504.252,0.96619912855846
57,2020,8296,656.778,8952.778,0.92663975360497
57,2021,7563,583.224,8146.224,0.928405602399345
58,2017,56012,NA,56012,1
58,2018,58678,NA,58678,1
58,2019,35722,NA,35722,1
58,2020,53600,NA,53600,1
58,2021,63825,NA,63825,1
59,2017,8375,32165.614,40540.614,0.206582959005012
59,2018,8164,15531.953,23695.953,0.344531405848079
59,2019,7445,27474.894,34919.894,0.213202250843029
59,2020,8304,75359.743,83663.743,0.0992544643860842
59,2021,4941,53882.315,58823.315,0.083997306170181
60,2017,117,NA,117,1
60,2018,58,NA,58,1
60,2019,130,NA,130,1
60,2020,65,NA,65,1
60,2021,41,NA,41,1
61,2017,955,NA,955,1
61,2018,787,NA,787,1
61,2019,117,NA,117,1
61,2020,317,NA,317,1
61,2021,700,NA,700,1
62,2017,241,NA,241,1
62,2018,265,NA,265,1
62,2019,184,NA,184,1
62,2020,197,NA,197,1
62,2021,271,NA,271,1
63,2017,414,NA,414,1
63,2018,377,NA,377,1
63,2019,483,NA,483,1
63,2020,358,NA,358,1
63,2021,536,NA,536,1
64,2017,3798,NA,3798,1
64,2018,10200,NA,10200,1
64,2019,5302,NA,5302,1
64,2020,6347,NA,6347,1
64,2021,7849,NA,7849,1
