"rgn_id","Sector","year","jobs"
94,"Acuicultura","2017",3
94,"Alojamiento","2017",14
94,"Pesca","2017",27
94,"Transporte","2017",0
94,"Turismo","2017",3
95,"Acuicultura","2017",3
95,"Alojamiento","2017",46
95,"Pesca","2017",971
95,"Transporte","2017",0
95,"Turismo","2017",0
96,"Alojamiento","2017",30
96,"Transporte","2017",4
96,"Turismo","2017",0
97,"Alojamiento","2017",0
97,"Transporte","2017",0
97,"Turismo","2017",0
98,"Alojamiento","2017",2
99,"Acuicultura","2017",736
99,"Alojamiento","2017",414
99,"Pesca","2017",579
99,"Transporte","2017",214
99,"Turismo","2017",38
100,"Acuicultura","2017",23
100,"Alojamiento","2017",487
100,"Pesca","2017",261
100,"Transporte","2017",4792
100,"Turismo","2017",76
101,"Alojamiento","2017",34
101,"Pesca","2017",17
101,"Turismo","2017",1
102,"Acuicultura","2017",69
102,"Alojamiento","2017",518
102,"Pesca","2017",24
102,"Transporte","2017",183
102,"Turismo","2017",335
103,"Acuicultura","2017",14
103,"Alojamiento","2017",6
103,"Pesca","2017",1
1,"Alojamiento","2018",16
1,"Pesca","2018",0
2,"Acuicultura","2018",1795
2,"Alojamiento","2018",104
2,"Pesca","2018",190
2,"Transporte","2018",198
2,"Turismo","2018",12
3,"Acuicultura","2018",244
3,"Alojamiento","2018",354
3,"Pesca","2018",37
3,"Transporte","2018",14
3,"Turismo","2018",43
4,"Acuicultura","2018",2
4,"Alojamiento","2018",82
4,"Pesca","2018",46
4,"Transporte","2018",4
4,"Turismo","2018",0
5,"Acuicultura","2018",10
5,"Alojamiento","2018",251
5,"Pesca","2018",864
5,"Transporte","2018",137
5,"Turismo","2018",124
6,"Acuicultura","2018",734
6,"Alojamiento","2018",124
6,"Pesca","2018",44
6,"Transporte","2018",646
6,"Turismo","2018",24
7,"Acuicultura","2018",0
7,"Alojamiento","2018",19
7,"Pesca","2018",55
7,"Transporte","2018",4
7,"Turismo","2018",109
8,"Acuicultura","2018",895
8,"Alojamiento","2018",27
8,"Pesca","2018",423
8,"Transporte","2018",66
8,"Turismo","2018",2
9,"Acuicultura","2018",207
9,"Alojamiento","2018",49
9,"Pesca","2018",819
9,"Transporte","2018",79
9,"Turismo","2018",17
11,"Alojamiento","2018",12
11,"Pesca","2018",0
12,"Alojamiento","2018",25
12,"Pesca","2018",0
12,"Turismo","2018",2
14,"Alojamiento","2018",35
14,"Pesca","2018",24
14,"Turismo","2018",16
15,"Alojamiento","2018",35
15,"Pesca","2018",1
15,"Turismo","2018",20
16,"Acuicultura","2018",2199
16,"Alojamiento","2018",91
16,"Pesca","2018",474
16,"Transporte","2018",511
16,"Turismo","2018",65
17,"Acuicultura","2018",7
17,"Alojamiento","2018",64
17,"Pesca","2018",4
17,"Transporte","2018",30
19,"Alojamiento","2018",17
19,"Pesca","2018",0
18,"Acuicultura","2018",28
18,"Alojamiento","2018",41
18,"Pesca","2018",22
18,"Turismo","2018",0
20,"Acuicultura","2018",3607
20,"Alojamiento","2018",38
20,"Pesca","2018",1025
20,"Transporte","2018",166
20,"Turismo","2018",4
21,"Acuicultura","2018",229
21,"Alojamiento","2018",87
21,"Pesca","2018",16
21,"Transporte","2018",121
21,"Turismo","2018",2
23,"Acuicultura","2018",86
23,"Alojamiento","2018",26
23,"Pesca","2018",2
23,"Transporte","2018",3
23,"Turismo","2018",0
24,"Alojamiento","2018",18
25,"Acuicultura","2018",4
25,"Alojamiento","2018",55
25,"Turismo","2018",1
26,"Acuicultura","2018",1
26,"Alojamiento","2018",103
26,"Pesca","2018",214
26,"Turismo","2018",6
27,"Acuicultura","2018",2
27,"Alojamiento","2018",487
27,"Pesca","2018",17
27,"Turismo","2018",35
28,"Acuicultura","2018",362
28,"Alojamiento","2018",262
28,"Pesca","2018",1645
28,"Transporte","2018",60
28,"Turismo","2018",4
29,"Acuicultura","2018",140
29,"Alojamiento","2018",34
29,"Pesca","2018",5818
29,"Transporte","2018",816
29,"Turismo","2018",0
30,"Acuicultura","2018",1
30,"Alojamiento","2018",4
30,"Pesca","2018",28
30,"Transporte","2018",127
31,"Acuicultura","2018",452
31,"Alojamiento","2018",0
31,"Pesca","2018",0
31,"Transporte","2018",0
32,"Alojamiento","2018",0
32,"Pesca","2018",1
33,"Acuicultura","2018",698
33,"Alojamiento","2018",47
33,"Pesca","2018",26
33,"Transporte","2018",243
33,"Turismo","2018",0
34,"Alojamiento","2018",50
34,"Pesca","2018",26
34,"Turismo","2018",2
35,"Acuicultura","2018",0
35,"Alojamiento","2018",14
35,"Pesca","2018",2
35,"Turismo","2018",19
36,"Acuicultura","2018",47
36,"Alojamiento","2018",9
36,"Pesca","2018",3
36,"Transporte","2018",9
36,"Turismo","2018",2
37,"Alojamiento","2018",9
37,"Pesca","2018",0
37,"Transporte","2018",1
37,"Turismo","2018",0
38,"Acuicultura","2018",53
38,"Alojamiento","2018",19
38,"Pesca","2018",12
38,"Transporte","2018",64
39,"Acuicultura","2018",124
39,"Alojamiento","2018",36
39,"Pesca","2018",9
39,"Transporte","2018",5
39,"Turismo","2018",8
40,"Acuicultura","2018",0
40,"Alojamiento","2018",6
40,"Pesca","2018",367
40,"Transporte","2018",61
40,"Turismo","2018",8
41,"Alojamiento","2018",4
41,"Pesca","2018",0
41,"Turismo","2018",1
42,"Acuicultura","2018",12
42,"Alojamiento","2018",21
42,"Pesca","2018",8
42,"Turismo","2018",2
43,"Acuicultura","2018",30
43,"Alojamiento","2018",308
43,"Pesca","2018",141
43,"Transporte","2018",167
43,"Turismo","2018",115
44,"Acuicultura","2018",0
44,"Alojamiento","2018",21
44,"Pesca","2018",4
44,"Turismo","2018",0
45,"Acuicultura","2018",2
45,"Alojamiento","2018",11
45,"Pesca","2018",8
45,"Turismo","2018",17
