"rgn_id","year","habitat","km2"
58,"2019","Kelp forest",7.2423299657984
59,"2019","Kelp forest",3294844.70578218
60,"2019","Kelp forest",4.4152992533558
61,"2019","Kelp forest",82.3114270531811
62,"2019","Kelp forest",2.93048201360627
63,"2019","Kelp forest",3.42947822497756
64,"2019","Kelp forest",21.5503435621661
65,"2019","Kelp forest",57.0304393333774
66,"2019","Kelp forest",30.8040923756394
67,"2019","Kelp forest",5591.76825115053
68,"2019","Kelp forest",2807.18967989244
69,"2019","Kelp forest",11.8795979456006
70,"2019","Kelp forest",141.858236117895
71,"2019","Kelp forest",
72,"2019","Kelp forest",2787400.31503061
73,"2019","Kelp forest",82.5227521263251
74,"2019","Kelp forest",108.846674398636
75,"2019","Kelp forest",5339.45242579202
76,"2019","Kelp forest",40801.0205450009
77,"2019","Kelp forest",1301.92153770987
78,"2019","Kelp forest",1565.46656815123
79,"2019","Kelp forest",1.3939922639889
80,"2019","Kelp forest",20.6792521119881
81,"2019","Kelp forest",83243.8339073934
82,"2019","Kelp forest",9.76539999254176
83,"2019","Kelp forest",0.142945218927539
84,"2019","Kelp forest",997.380643081295
85,"2019","Kelp forest",235.852246062155
86,"2019","Kelp forest",2.17517840314175
87,"2019","Kelp forest",4.20731575952296
88,"2019","Kelp forest",11.0531169768772
89,"2019","Kelp forest",1955.65236476103
90,"2019","Kelp forest",21.775641587901
91,"2019","Kelp forest",24239.8548104695
92,"2019","Kelp forest",655.50766377531
93,"2019","Kelp forest",152.183866883603
94,"2019","Kelp forest",6.70769192659193
95,"2019","Kelp forest",102.647173102563
96,"2019","Kelp forest",26.012615302234
97,"2019","Kelp forest",240677.428959883
98,"2019","Kelp forest",0.130116749403304
99,"2019","Kelp forest",125.560460368315
100,"2019","Kelp forest",0.799124269224172
101,"2019","Kelp forest",13.4206389091222
102,"2019","Kelp forest",1.57312862478818
103,"2019","Kelp forest",1.77713209404063
1,"2020","Kelp forest",1.23606772854174
2,"2020","Kelp forest",1826.33337286386
3,"2020","Kelp forest",209.076944708642
4,"2020","Kelp forest",204.82862572149
5,"2020","Kelp forest",3.5668447593793
6,"2020","Kelp forest",391020.108119055
7,"2020","Kelp forest",4961432.83528356
8,"2020","Kelp forest",491.250302713493
9,"2020","Kelp forest",1582.05846410908
10,"2020","Kelp forest",0.592911282578231
11,"2020","Kelp forest",22.9155156100944
12,"2020","Kelp forest",13.9762793780257
13,"2020","Kelp forest",21.8591244473864
14,"2020","Kelp forest",0.0396592070573311
15,"2020","Kelp forest",0.267750228307854
16,"2020","Kelp forest",292.870448768979
17,"2020","Kelp forest",8316.92452242686
18,"2020","Kelp forest",751.847940439892
19,"2020","Kelp forest",7.33770630950461
20,"2020","Kelp forest",507.54509024511
21,"2020","Kelp forest",194367.704429905
22,"2020","Kelp forest",17.7409133420623
23,"2020","Kelp forest",13.8277878183539
24,"2020","Kelp forest",0.423408585559652
25,"2020","Kelp forest",
26,"2020","Kelp forest",28.2365405650089
27,"2020","Kelp forest",126.292304471699
28,"2020","Kelp forest",16.7136296665067
29,"2020","Kelp forest",579.839922509505
30,"2020","Kelp forest",1308.41309047948
31,"2020","Kelp forest",21.4325523794192
32,"2020","Kelp forest",0.993206529374388
33,"2020","Kelp forest",200.387396820839
34,"2020","Kelp forest",0.0775160025318557
35,"2020","Kelp forest",0.18488570964675
36,"2020","Kelp forest",504.501159169473
37,"2020","Kelp forest",69.0799164627371
38,"2020","Kelp forest",9989.7853712008
39,"2020","Kelp forest",298.172272619003
40,"2020","Kelp forest",20.8882913048922
41,"2020","Kelp forest",46.5482417693444
42,"2020","Kelp forest",253.283235650058
43,"2020","Kelp forest",57.3003639163171
44,"2020","Kelp forest",115.101108878542
45,"2020","Kelp forest",3.4929219151646
46,"2020","Kelp forest",19.4979378111372
47,"2020","Kelp forest",75.7932499839599
48,"2020","Kelp forest",74.2074564841688
49,"2020","Kelp forest",320.137256217272
50,"2020","Kelp forest",1.28445644424261
51,"2020","Kelp forest",1.85538028409321
52,"2020","Kelp forest",0.48527615475573
53,"2020","Kelp forest",69.7774728491831
54,"2020","Kelp forest",135.502619575398
55,"2020","Kelp forest",43.4073939197624
56,"2020","Kelp forest",47.8197685095275
57,"2020","Kelp forest",661.275756673411
58,"2020","Kelp forest",7.11196802641403
59,"2020","Kelp forest",3235537.5010781
60,"2020","Kelp forest",4.33582386679539
61,"2020","Kelp forest",80.8298213662239
62,"2020","Kelp forest",2.87773333736136
63,"2020","Kelp forest",3.36774761692797
64,"2020","Kelp forest",21.1624373780471
65,"2020","Kelp forest",56.0038914253766
66,"2020","Kelp forest",30.2496187128779
67,"2020","Kelp forest",5491.11642262982
68,"2020","Kelp forest",2756.66026565437
69,"2020","Kelp forest",11.6657651825798
70,"2020","Kelp forest",139.304787867773
71,"2020","Kelp forest",
72,"2020","Kelp forest",2737227.10936005
73,"2020","Kelp forest",81.0373425880513
74,"2020","Kelp forest",106.887434259461
75,"2020","Kelp forest",5243.34228212776
76,"2020","Kelp forest",40066.6021751909
77,"2020","Kelp forest",1278.48695003109
78,"2020","Kelp forest",1537.2881699245
79,"2020","Kelp forest",1.3689004032371
80,"2020","Kelp forest",20.3070255739724
81,"2020","Kelp forest",81745.4448970603
82,"2020","Kelp forest",9.58962279267601
83,"2020","Kelp forest",0.140372204986844
84,"2020","Kelp forest",979.427791505831
85,"2020","Kelp forest",231.606905633036
86,"2020","Kelp forest",2.13602519188519
87,"2020","Kelp forest",4.13158407585154
88,"2020","Kelp forest",10.8541608712934
89,"2020","Kelp forest",1920.45062219533
90,"2020","Kelp forest",21.3836800393188
91,"2020","Kelp forest",23803.537423881
92,"2020","Kelp forest",643.708525827354
93,"2020","Kelp forest",149.444557279699
94,"2020","Kelp forest",6.58695347191328
95,"2020","Kelp forest",100.799523986717
96,"2020","Kelp forest",25.5443882267938
97,"2020","Kelp forest",236345.235238605
98,"2020","Kelp forest",0.127774647914045
99,"2020","Kelp forest",123.300372081685
100,"2020","Kelp forest",0.784740032378137
101,"2020","Kelp forest",13.179067408758
102,"2020","Kelp forest",1.54481230954199
103,"2020","Kelp forest",1.7451437163479
1,"2021","Kelp forest",1.21381850942799
2,"2021","Kelp forest",1793.45937215231
3,"2021","Kelp forest",205.313559703886
4,"2021","Kelp forest",201.141710458503
5,"2021","Kelp forest",3.50264155371047
6,"2021","Kelp forest",383981.746172912
7,"2021","Kelp forest",4872127.04424845
8,"2021","Kelp forest",482.40779726465
9,"2021","Kelp forest",1553.58141175512
10,"2021","Kelp forest",0.582238879491823
11,"2021","Kelp forest",22.5030363291127
12,"2021","Kelp forest",13.7247063492213
13,"2021","Kelp forest",21.4656602073334
14,"2021","Kelp forest",0.0389453413302992
15,"2021","Kelp forest",0.262930724198312
16,"2021","Kelp forest",287.598780691138
17,"2021","Kelp forest",8167.21988102318
18,"2021","Kelp forest",738.314677511974
19,"2021","Kelp forest",7.20562759593353
20,"2021","Kelp forest",498.409278620698
21,"2021","Kelp forest",190869.085750166
22,"2021","Kelp forest",17.4215769019052
23,"2021","Kelp forest",13.5788876376235
24,"2021","Kelp forest",0.415787231019578
25,"2021","Kelp forest",
26,"2021","Kelp forest",27.7282828348387
27,"2021","Kelp forest",124.019042991208
28,"2021","Kelp forest",16.4127843325096
29,"2021","Kelp forest",569.402803904333
30,"2021","Kelp forest",1284.86165485085
31,"2021","Kelp forest",21.0467664365896
32,"2021","Kelp forest",0.975328811845649
33,"2021","Kelp forest",196.780423678064
34,"2021","Kelp forest",0.0761207144862823
35,"2021","Kelp forest",0.181557766873108
36,"2021","Kelp forest",495.420138304423
37,"2021","Kelp forest",67.8364779664078
38,"2021","Kelp forest",9809.96923451919
39,"2021","Kelp forest",292.805171711861
40,"2021","Kelp forest",20.5123020614041
41,"2021","Kelp forest",45.7103734174962
42,"2021","Kelp forest",248.724137408357
43,"2021","Kelp forest",56.2689573658234
44,"2021","Kelp forest",113.029288918728
45,"2021","Kelp forest",3.43004932069164
46,"2021","Kelp forest",19.1469749305367
47,"2021","Kelp forest",74.4289714842486
48,"2021","Kelp forest",72.8717222674538
49,"2021","Kelp forest",314.374785605362
50,"2021","Kelp forest",1.26133622824625
51,"2021","Kelp forest",1.82198343897953
52,"2021","Kelp forest",0.476541183970127
53,"2021","Kelp forest",68.5214783378978
