"rgn_id","Sector","year","gdp_usd"
5,"Transporte","2018",
5,"Turismo","2018",2732737.1392
6,"Acuicultura","2018",15087572.0432
6,"Alojamiento","2018",2444833.5312
6,"Pesca","2018",1479077.4448
6,"Transporte","2018",10171990.0368
6,"Turismo","2018",201218.9296
7,"Acuicultura","2018",
7,"Alojamiento","2018",
7,"Pesca","2018",4448226.4032
7,"Transporte","2018",
7,"Turismo","2018",
8,"Acuicultura","2018",100023197.1904
8,"Alojamiento","2018",197472.8624
8,"Pesca","2018",1122971.7648
8,"Transporte","2018",1150913.9552
8,"Turismo","2018",
9,"Acuicultura","2018",4613812.2848
9,"Alojamiento","2018",976841.424
9,"Pesca","2018",10397139.8256
9,"Transporte","2018",
9,"Turismo","2018",
11,"Alojamiento","2018",
11,"Pesca","2018",
12,"Alojamiento","2018",0
12,"Pesca","2018",
12,"Turismo","2018",
14,"Alojamiento","2018",551773.848
14,"Pesca","2018",
14,"Transporte","2018",
14,"Turismo","2018",
15,"Alojamiento","2018",540483.9424
15,"Pesca","2018",0
15,"Turismo","2018",
16,"Acuicultura","2018",43938703.9264
16,"Alojamiento","2018",1571639.2944
16,"Pesca","2018",
16,"Transporte","2018",10627981.5504
16,"Turismo","2018",0
17,"Acuicultura","2018",
17,"Alojamiento","2018",2188733.2784
17,"Pesca","2018",
17,"Transporte","2018",
17,"Turismo","2018",
19,"Alojamiento","2018",
19,"Pesca","2018",
18,"Acuicultura","2018",
18,"Alojamiento","2018",0
18,"Pesca","2018",
18,"Turismo","2018",
20,"Acuicultura","2018",502961425.672
20,"Alojamiento","2018",347739.5232
20,"Pesca","2018",
20,"Transporte","2018",
20,"Turismo","2018",
21,"Acuicultura","2018",6489320.4832
21,"Alojamiento","2018",1807293.9872
21,"Pesca","2018",0
21,"Transporte","2018",
21,"Turismo","2018",
23,"Acuicultura","2018",1941847.128
23,"Alojamiento","2018",111287.6896
23,"Pesca","2018",
23,"Transporte","2018",
23,"Turismo","2018",
24,"Alojamiento","2018",782174.0656
24,"Pesca","2018",
24,"Turismo","2018",
25,"Acuicultura","2018",
25,"Alojamiento","2018",732824.1712
25,"Pesca","2018",
25,"Transporte","2018",
25,"Turismo","2018",
26,"Acuicultura","2018",
26,"Alojamiento","2018",2404713.4752
26,"Pesca","2018",7368700.3168
26,"Transporte","2018",
26,"Turismo","2018",
27,"Acuicultura","2018",
27,"Alojamiento","2018",7203839.1904
27,"Pesca","2018",
27,"Transporte","2018",
27,"Turismo","2018",211881.6432
28,"Acuicultura","2018",3388796.6064
28,"Alojamiento","2018",2606999.7552
28,"Pesca","2018",52560409.32
28,"Transporte","2018",
28,"Turismo","2018",
29,"Acuicultura","2018",
29,"Alojamiento","2018",456147.9744
29,"Pesca","2018",466155348.792
29,"Transporte","2018",
29,"Turismo","2018",
30,"Acuicultura","2018",
30,"Alojamiento","2018",69718.1232
30,"Pesca","2018",624741.68
30,"Transporte","2018",
30,"Turismo","2018",
31,"Acuicultura","2018",0
31,"Alojamiento","2018",
31,"Pesca","2018",
31,"Transporte","2018",
32,"Alojamiento","2018",
32,"Pesca","2018",
32,"Turismo","2018",
33,"Acuicultura","2018",11224527.016
33,"Alojamiento","2018",404323.9312
33,"Pesca","2018",645083.3824
33,"Transporte","2018",0
33,"Turismo","2018",
34,"El Quisco","2018",828409.1312
34,"Alojamiento","2018",828409.1312
34,"Pesca","2018",
34,"Turismo","2018",
35,"Acuicultura","2018",
35,"Alojamiento","2018",282078.5904
35,"Pesca","2018",
35,"Turismo","2018",
36,"Acuicultura","2018",
36,"Alojamiento","2018",116795.2896
36,"Pesca","2018",
36,"Transporte","2018",
36,"Turismo","2018",
37,"Acuicultura","2018",
37,"Alojamiento","2018",
37,"Pesca","2018",
37,"Transporte","2018",
37,"Turismo","2018",
38,"Acuicultura","2018",
38,"Alojamiento","2018",442730.5616
38,"Pesca","2018",
38,"Transporte","2018",
39,"Acuicultura","2018",2556621.176
39,"Alojamiento","2018",504108.6048
39,"Pesca","2018",263093.3312
39,"Transporte","2018",
39,"Turismo","2018",
40,"Acuicultura","2018",
40,"Alojamiento","2018",
40,"Pesca","2018",
40,"Transporte","2018",
40,"Turismo","2018",
41,"Alojamiento","2018",
41,"Pesca","2018",
41,"Transporte","2018",
41,"Turismo","2018",
42,"Acuicultura","2018",
42,"Alojamiento","2018",530784.272
42,"Pesca","2018",
42,"Transporte","2018",
42,"Turismo","2018",
