"rgn_id","specie","status"
16,"Spheniscus humboldti","VU"
16,"Sula variegata","LC"
16,"Tachyeres patachonicus","LC"
16,"Tachyeres pteneres","NT"
16,"Thalassarche melanophris","LC"
16,"Thalasseus elegans","NT"
16,"Tringa flavipes","LC"
17,"Aulacomya atra","LC"
17,"Charadrius collaris","NT"
17,"Charadrius modestus","LC"
17,"Chloephaga hybrida","VU"
17,"Coscoroba coscoroba","LC"
17,"Cygnus melancoryphus","LC"
17,"Desmophyllum dianthus","NT"
17,"Diomedea epomophora","VU"
17,"Eleginops maclovinus","LC"
17,"Ensis macha","VU"
17,"Falco peregrinus","LC"
17,"Genypterus blacodes","EN"
17,"Geranoaetus melanoleucus","LC"
17,"Haematopus palliatus","NT"
17,"Lagenorhynchus australis","LC"
17,"Leucophaeus pipixcan","LC"
17,"Macronectes giganteus","VU"
17,"Merluccius australis","EN"
17,"Mytilus chilensis","NT"
17,"Numenius phaeopus","LC"
17,"Otaria byronia","LC"
17,"Pelecanus thagus","NT"
17,"Phalacrocorax gaimardi","NT"
17,"Phoenicopterus chilensis","NT"
17,"Puffinus creatopus","EN"
17,"Puffinus griseus","NT"
17,"Spheniscus humboldti","VU"
17,"Sula variegata","LC"
17,"Tachyeres patachonicus","LC"
17,"Tachyeres pteneres","NT"
17,"Tagelus dombeii","EN"
17,"Thalassarche melanophris","LC"
17,"Tringa flavipes","LC"
17,"Vultur gryphus","NT"
18,"Charadrius nivosus","VU"
18,"Coscoroba coscoroba","LC"
18,"Cryphiops caementarius","VU"
18,"Delphinus delphis","LC"
18,"Falco peregrinus","LC"
18,"Haematopus palliatus","NT"
18,"Larosterna inca","NT"
18,"Leucocarbo bougainvillii","NT"
18,"Leucophaeus modestus","VU"
18,"Leucophaeus pipixcan","LC"
18,"Lontra felina","EN"
18,"Macronectes giganteus","VU"
18,"Mirounga leonina","LC"
18,"Mugil cephalus","LC"
18,"Numenius phaeopus","LC"
18,"Otaria byronia","LC"
18,"Pandion haliaetus","LC"
18,"Pelecanoides garnotii","EN"
18,"Pelecanus thagus","NT"
18,"Phaethon rubricauda","VU"
18,"Phalacrocorax gaimardi","NT"
18,"Phoenicopterus chilensis","NT"
18,"Puffinus griseus","NT"
18,"Spheniscus humboldti","VU"
18,"Sula variegata","LC"
18,"Thalassarche chrysostoma","VU"
18,"Thalasseus elegans","NT"
19,"Charadrius collaris","NT"
19,"Charadrius modestus","LC"
19,"Coscoroba coscoroba","LC"
19,"Cygnus melancoryphus","LC"
19,"Falco peregrinus","LC"
19,"Haematopus palliatus","NT"
19,"Larosterna inca","NT"
19,"Leucocarbo bougainvillii","NT"
19,"Leucophaeus modestus","VU"
19,"Leucophaeus pipixcan","LC"
19,"Macronectes giganteus","VU"
19,"Numenius phaeopus","LC"
