"region_id","year","status"
"Curaco de Velez",2019,0.306629122
"Curaco de Velez",2020,0.249347731
"Curaco de Velez",2021,0.097557044
"Dalcahue",2017,0.447912616
"Dalcahue",2018,0.358283542
"Dalcahue",2019,0.378176254
"Dalcahue",2020,0.183618241
"Dalcahue",2021,0.148557184
"El quisco",2017,0.167724428
"El quisco",2018,0.409075498
"El quisco",2019,0.131746876
"El quisco",2020,0.166074929
"El quisco",2021,0.079582869
"El tabo",2017,0.278836227
"El tabo",2018,0.370473391
"El tabo",2019,0.112583025
"El tabo",2020,0.147307766
"El tabo",2021,0.051419017
"Freirina",2017,0.417905114
"Freirina",2018,0.408227222
"Freirina",2019,0.470092157
"Freirina",2020,0.229501978
"Freirina",2021,0.128240565
"Guaitecas",2017,0.104622194
"Guaitecas",2018,0.136908655
"Guaitecas",2019,0.305523786
"Guaitecas",2020,0.316410222
"Guaitecas",2021,0.402625454
"Hualaihue",2017,0.399520013
"Hualaihue",2018,0.423286603
"Hualaihue",2019,0.281130483
"Hualaihue",2020,0.116651325
"Hualaihue",2021,0.392214624
"Hualpen",2017,0.447110666
"Hualpen",2018,0.402660711
"Hualpen",2019,0.461978803
"Hualpen",2020,0.149411106
"Hualpen",2021,0.280980198
"Huara",2017,0.481108023
"Huara",2018,0.15188178
"Huara",2019,0.286928526
"Huara",2020,0.404592181
"Huara",2021,0.485277676
"Huasco",2017,0.456143781
"Huasco",2018,0.312225833
"Huasco",2019,0.113132201
"Huasco",2020,0.132056333
"Huasco",2021,0.223366048
"Iquique",2017,0.139826147
"Iquique",2018,0.077549963
"Iquique",2019,0.138589386
"Iquique",2020,0.192690216
"Iquique",2021,0.464478417
"La higuera",2017,0.373950822
"La higuera",2018,0.074668491
"La higuera",2019,0.350099301
"La higuera",2020,0.151557472
"La higuera",2021,0.402968684
"La ligua",2017,0.366477111
"La ligua",2018,0.356891335
"La ligua",2019,0.411623574
"La ligua",2020,0.2277471
"La ligua",2021,0.096331091
"Lebu",2017,0.333581134
"Lebu",2018,0.415451377
"Lebu",2019,0.098034276
"Lebu",2020,0.355186776
"Lebu",2021,0.363035572
