"rgn_id","year","jobs"
101,"2018",25127.8665863496
102,"2018",313637.100510904
103,"2018",6872.47300977858
1,"2019",13053.6892741711
2,"2019",30213.7634002204
3,"2019",270784.503842342
4,"2019",37942.2324082003
5,"2019",78681.636944401
6,"2019",48515.4121521181
7,"2019",1000.90293524824
8,"2019",25981.0275332318
9,"2019",12627.9229456015
10,"2019",398.420890551831
11,"2019",6048.65401538164
12,"2019",36246.1767216176
13,"2019",202093.731781139
14,"2019",21809.1375937709
15,"2019",25225.5980174085
16,"2019",33660.8373292906
17,"2019",3565.42227906515
18,"2019",7536.97036948071
19,"2019",75162.709578668
20,"2019",11342.1921690957
21,"2019",11311.8129378793
22,"2019",54703.4972322448
23,"2019",2863.1745396372
24,"2019",174023.623083074
25,"2019",39628.3061118129
26,"2019",287225.448445557
