"rgn_id","year","percent"
97,"2018",3.37130542124224
98,"2018",7.87033422595466
99,"2018",5.23835618355744
100,"2018",7.66250310811579
101,"2018",6.36448938779815
102,"2018",7.66250310811579
103,"2018",7.66250310811579
1,"2019",7.99772296231993
2,"2019",3.5891874112317
3,"2019",8.13180943459526
4,"2019",8.05978353627054
5,"2019",6.84257248476197
6,"2019",4.25309615040732
7,"2019",3.54319174546242
8,"2019",3.5891874112317
9,"2019",8.13180943459526
10,"2019",6.84257248476197
11,"2019",6.82305147412906
12,"2019",8.05978353627054
13,"2019",6.90743671644942
14,"2019",7.99772296231993
15,"2019",7.99772296231993
16,"2019",3.5891874112317
17,"2019",3.5891874112317
18,"2019",8.37672484023368
19,"2019",6.56506859992991
20,"2019",3.5891874112317
21,"2019",4.25309615040732
