"rgn_id","habitat","year","health"
10,"Playas y dunas",2018,92.9705215419501
11,"Macrocystis",2018,98.2318271119843
11,"Bosques y matorrales",2018,83.7478311162521
11,"Marismas y humedales",2018,81.5384615384615
11,"Playas y dunas",2018,75.8938053097345
12,"Macrocystis",2018,98.2318271119843
12,"Bosques y matorrales",2018,94.2687128092703
12,"Marismas y humedales",2018,78.0254777070064
12,"Playas y dunas",2018,71.563088512241
13,"Macrocystis",2018,98.2318271119843
13,"Bosques y matorrales",2018,97.3372781065088
13,"Marismas y humedales",2018,19.3548387096774
13,"Playas y dunas",2018,0
14,"Macrocystis",2018,98.2318271119843
14,"Bosques y matorrales",2018,100
14,"Marismas y humedales",2018,100
14,"Playas y dunas",2018,7.53880266075388
15,"Macrocystis",2018,98.2318271119843
15,"Bosques y matorrales",2018,99.6986136226642
15,"Marismas y humedales",2018,71.7771131748781
15,"Playas y dunas",2018,94.7368421052632
16,"Macrocystis",2018,98.2318271119843
16,"Bosques y matorrales",2018,77.1958678110706
16,"Marismas y humedales",2018,100
16,"Playas y dunas",2018,1.2987012987013
17,"Macrocystis",2018,98.2318271119843
17,"Bosques y matorrales",2018,100
17,"Marismas y humedales",2018,91.5172079495881
17,"Playas y dunas",2018,54.1284403669724
18,"Macrocystis",2018,98.2318271119843
18,"Bosques y matorrales",2018,4.08163265306122
18,"Marismas y humedales",2018,0.851063829787234
18,"Playas y dunas",2018,80.3598971722365
19,"Macrocystis",2018,98.2318271119843
19,"Bosques y matorrales",2018,80.2337573049158
19,"Marismas y humedales",2018,60.4741546832491
19,"Playas y dunas",2018,95.7364341085271
20,"Macrocystis",2018,98.2318271119843
20,"Bosques y matorrales",2018,93.8526513374003
20,"Marismas y humedales",2018,92.6829268292683
20,"Playas y dunas",2018,85.431654676259
21,"Macrocystis",2018,98.2318271119843
21,"Bosques y matorrales",2018,85.9825941251304
21,"Marismas y humedales",2018,58.279018674478
21,"Playas y dunas",2018,37.1980676328502
22,"Macrocystis",2018,98.2318271119843
22,"Bosques y matorrales",2018,99.7235387045814
22,"Marismas y humedales",2018,90.9090909090909
22,"Playas y dunas",2018,91.5451895043733
23,"Macrocystis",2018,98.2318271119843
23,"Bosques y matorrales",2018,100
23,"Marismas y humedales",2018,100
23,"Playas y dunas",2018,31.8181818181818
24,"Macrocystis",2018,98.2318271119843
24,"Bosques y matorrales",2018,100
24,"Marismas y humedales",2018,81.0344827586207
24,"Playas y dunas",2018,97.8723404255319
25,"Macrocystis",2018,
25,"Bosques y matorrales",2018,49.6350364963504
25,"Marismas y humedales",2018,83.9506172839506
25,"Playas y dunas",2018,13.28125
26,"Macrocystis",2018,98.2318271119843
26,"Bosques y matorrales",2018,100
26,"Marismas y humedales",2018,61.9481429572529
26,"Playas y dunas",2018,95.0254256024762
27,"Macrocystis",2018,98.2318271119843
27,"Bosques y matorrales",2018,1.87667560321716
27,"Marismas y humedales",2018,100
27,"Playas y dunas",2018,87.8949927078269
28,"Macrocystis",2018,98.2318271119843
28,"Bosques y matorrales",2018,64.0635564570656
28,"Marismas y humedales",2018,17.7615894039735
28,"Playas y dunas",2018,96.1860020702284
29,"Macrocystis",2018,98.2318271119843
29,"Bosques y matorrales",2018,86.8250539956803
29,"Marismas y humedales",2018,15.0911161731207
29,"Playas y dunas",2018,58.165548098434
30,"Macrocystis",2018,98.2318271119843
30,"Bosques y matorrales",2018,100
30,"Marismas y humedales",2018,89.4601542416452
30,"Playas y dunas",2018,58.4415584415583
31,"Macrocystis",2018,98.2318271119843
31,"Bosques y matorrales",2018,64.9943378744723
31,"Marismas y humedales",2018,19.7309417040359
31,"Playas y dunas",2018,
32,"Macrocystis",2018,
32,"Bosques y matorrales",2018,79.6019900497513
32,"Marismas y humedales",2018,44.2477876106195
32,"Playas y dunas",2018,83.7837837837838
33,"Macrocystis",2018,98.2318271119843
33,"Bosques y matorrales",2018,96.1814281336195
33,"Marismas y humedales",2018,45.1612903225807
33,"Playas y dunas",2018,25.5319148936171
34,"Macrocystis",2018,98.2318271119843
34,"Bosques y matorrales",2018,53.904282115869
34,"Marismas y humedales",2018,64.2585551330798
34,"Playas y dunas",2018,100
35,"Macrocystis",2018,98.2318271119843
35,"Bosques y matorrales",2018,81.5217391304348
35,"Marismas y humedales",2018,7.5107296137339
35,"Playas y dunas",2018,100
36,"Macrocystis",2018,98.2318271119843
36,"Bosques y matorrales",2018,7.60986066452304
36,"Marismas y humedales",2018,8.86075949367089
36,"Playas y dunas",2018,92.8521168054415
37,"Macrocystis",2018,98.2318271119843
37,"Bosques y matorrales",2018,91.2674061836206
37,"Marismas y humedales",2018,53.3333333333334
37,"Playas y dunas",2018,54.3999999999999
38,"Macrocystis",2018,98.2318271119843
38,"Bosques y matorrales",2018,
38,"Marismas y humedales",2018,
38,"Playas y dunas",2018,
39,"Macrocystis",2018,98.2318271119843
39,"Bosques y matorrales",2018,100
39,"Marismas y humedales",2018,68.1431005110733
39,"Playas y dunas",2018,7.76799585706888
40,"Macrocystis",2018,98.2318271119843
40,"Bosques y matorrales",2018,100
40,"Marismas y humedales",2018,97.5609756097561
40,"Playas y dunas",2018,92.0000000000002
41,"Macrocystis",2018,98.2318271119843
41,"Bosques y matorrales",2018,3.19444444444444
41,"Marismas y humedales",2018,2.92372881355932
