"","rgn_id","rgn_name","Year","Xao"
"253",55,"Lota",2017,0.342430001983286
"254",55,"Lota",2018,0.11699555181919
"255",55,"Lota",2019,0.293101710707221
"256",55,"Lota",2020,0.251505751299557
"257",55,"Lota",2021,0.446922410904274
"258",56,"Mariquina",2017,0.0477880190818377
"259",56,"Mariquina",2018,0.380708935752822
"260",56,"Mariquina",2019,0.297009553452849
"261",56,"Mariquina",2020,0.151228554549721
"262",56,"Mariquina",2021,0.287205951303767
"263",57,"Maullin",2017,0.124816605788473
"264",57,"Maullin",2018,0.25474377323643
"265",57,"Maullin",2019,0.376487907227902
"266",57,"Maullin",2020,0.227538327860779
"267",57,"Maullin",2021,0.0812002772642785
"268",58,"Mejillones",2017,0.390096217162675
"269",58,"Mejillones",2018,0.277944308709642
"270",58,"Mejillones",2019,0.0929965429863301
"271",58,"Mejillones",2020,0.330668377869149
"272",58,"Mejillones",2021,0.485923817311239
"273",59,"Natales",2017,0.507412215108596
"274",59,"Natales",2018,0.477172511698252
"275",59,"Natales",2019,0.438646875051932
"276",59,"Natales",2020,0.484402925041227
"277",59,"Natales",2021,0.210923563714538
"278",60,"Navidad",2017,0.41333408256654
"279",60,"Navidad",2018,0.275110544327213
"280",60,"Navidad",2019,0.240839954413134
"281",60,"Navidad",2020,0.0794466279352141
"282",60,"Navidad",2021,0.0741354757293384
"283",61,"Ovalle",2017,0.439541753274904
"284",61,"Ovalle",2018,0.156061844094647
"285",61,"Ovalle",2019,0.178324650280151
"286",61,"Ovalle",2020,0.141317714690345
"287",61,"Ovalle",2021,0.242385550920092
"288",62,"Papudo",2017,0.389066728441746
"289",62,"Papudo",2018,0.183577455263823
"290",62,"Papudo",2019,0.0710127029620191
"291",62,"Papudo",2020,0.241964396357888
"292",62,"Papudo",2021,0.191980256528111
"293",63,"Paredones",2017,0.484826223389596
"294",63,"Paredones",2018,0.212950410423622
"295",63,"Paredones",2019,0.200144081108845
"296",63,"Paredones",2020,0.344758431042304
"297",63,"Paredones",2021,0.375903459897901
"298",64,"Pelluhue",2017,0.206490822156296
"299",64,"Pelluhue",2018,0.501227236850266
"300",64,"Pelluhue",2019,0.250000615667452
"301",64,"Pelluhue",2020,0.324668228255332
"302",64,"Pelluhue",2021,0.324755957267041
"303",65,"Penco",2017,0.34680279083349
"304",65,"Penco",2018,0.059529225636889
"305",65,"Penco",2019,0.387111891202425
"306",65,"Penco",2020,0.134781118312527
"307",65,"Penco",2021,0.085697796190836
"308",66,"Pichilemu",2017,0.39705393556266
"309",66,"Pichilemu",2018,0.364767649711949
"310",66,"Pichilemu",2019,0.0779079528482658
"311",66,"Pichilemu",2020,0.140790194178089
"312",66,"Pichilemu",2021,0.253913321265608
"313",67,"Porvenir",2017,0.674938782701057
"314",67,"Porvenir",2018,0.500783880948652
"315",67,"Porvenir",2019,0.549669346972128
"316",67,"Porvenir",2020,0.40394672962943
"317",67,"Porvenir",2021,0.206917994750031
"318",69,"Puchuncavi",2017,0.40515585072153
"319",69,"Puchuncavi",2018,0.363593434137744
"320",69,"Puchuncavi",2019,0.0700383035691195
"321",69,"Puchuncavi",2020,0.408449439172765
"322",69,"Puchuncavi",2021,0.221057985985045
"323",70,"Puerto Montt",2017,0.545246028607694
"324",70,"Puerto Montt",2018,0.370480911032461
"325",70,"Puerto Montt",2019,0.200039638242036
"326",70,"Puerto Montt",2020,0.309534480335385
"327",70,"Puerto Montt",2021,0.191862434450211
"328",71,"Puerto Varas",2017,0.367313394045084
"329",71,"Puerto Varas",2018,0.179178192893775
"330",71,"Puerto Varas",2019,0.218837643836381
"331",71,"Puerto Varas",2020,0.216255807216101
"332",71,"Puerto Varas",2021,0.137598899208806
"333",72,"Punta Arenas",2017,0.46025961951996
"334",72,"Punta Arenas",2018,0.524199300734778
"335",72,"Punta Arenas",2019,0.359693649288086
"336",72,"Punta Arenas",2020,0.362670960922715
"337",72,"Punta Arenas",2021,0.125586419227568
"338",73,"Puqueldon",2017,0.104719655967931
"339",73,"Puqueldon",2018,0.111592598524619
"340",73,"Puqueldon",2019,0.189035158159317
"341",73,"Puqueldon",2020,0.190165986787802
"342",73,"Puqueldon",2021,0.386378323322367
"343",74,"Purranque",2017,0.184995670409751
"344",74,"Purranque",2018,0.417779434856285
"345",74,"Purranque",2019,0.152030229017328
"346",74,"Purranque",2020,0.0953409451541811
