rgn_id,rgn_name,Year,Xao
34,EL QUISCO,2020,31.42840818
34,EL QUISCO,2021,18.93432976
35,EL TABO,2017,30.51317466
35,EL TABO,2018,40.14881564
35,EL TABO,2019,15.33674561
35,EL TABO,2020,18.70773922
35,EL TABO,2021,7.888134825
36,FREIRINA,2017,48.13441075
36,FREIRINA,2018,49.80600976
36,FREIRINA,2019,57.61993089
36,FREIRINA,2020,39.49381092
36,FREIRINA,2021,17.03467316
37,FRESIA,2017,21.22547939
37,FRESIA,2018,33.33333333
37,FRESIA,2019,5.951068988
37,FRESIA,2020,0
38,GUAITECAS,2017,14.98740414
38,GUAITECAS,2018,12.70674197
38,GUAITECAS,2019,36.38191261
38,GUAITECAS,2020,42.45185967
38,GUAITECAS,2021,43.43457986
39,HUALAIHUE,2017,39.06174407
39,HUALAIHUE,2018,39.44246047
39,HUALAIHUE,2019,34.3185332
39,HUALAIHUE,2020,15.07989968
39,HUALAIHUE,2021,39.27255008
40,HUALPEN,2017,52.15648663
40,HUALPEN,2018,46.16968742
40,HUALPEN,2019,61.52514154
40,HUALPEN,2020,32.34912604
40,HUALPEN,2021,36.41015569
41,HUARA,2017,60.6895926
41,HUARA,2018,33.61312421
41,HUARA,2019,41.58095192
41,HUARA,2020,62.28257394
41,HUARA,2021,56.44596312
42,HUASCO,2017,52.80385683
42,HUASCO,2018,39.10932886
42,HUASCO,2019,19.43856294
42,HUASCO,2020,25.96119415
42,HUASCO,2021,26.35129892
43,IQUIQUE,2017,14.95401875
43,IQUIQUE,2018,8.603328303
43,IQUIQUE,2019,19.67654452
43,IQUIQUE,2020,23.23724841
43,IQUIQUE,2021,44.55958131
44,LA HIGUERA,2017,43.90113597
44,LA HIGUERA,2018,10.44766507
44,LA HIGUERA,2019,42.25803915
44,LA HIGUERA,2020,24.56930255
44,LA HIGUERA,2021,44.36297812
45,LA LIGUA,2017,43.47802271
45,LA LIGUA,2018,43.02332774
45,LA LIGUA,2019,48.99678145
45,LA LIGUA,2020,32.59041959
45,LA LIGUA,2021,12.75816145
46,LA SERENA,2017,9.468183634
46,LA SERENA,2018,5.20973411
46,LA SERENA,2019,38.28919349
46,LA SERENA,2020,4.005734514
46,LA SERENA,2021,4.875451239
47,LA UNION,2018,2.87275566
47,LA UNION,2019,4.574551132
47,LA UNION,2020,0
47,LA UNION,2021,33.33333333
48,LAGUNA BLANCA,NA,NA
49,LEBU,2017,33.06315308
49,LEBU,2018,40.85965379
49,LEBU,2019,15.72489546
49,LEBU,2020,43.19868902
49,LEBU,2021,37.12037616
50,LICANTEN,2017,13.58060986
50,LICANTEN,2018,28.57376269
50,LICANTEN,2019,38.54784638
50,LICANTEN,2020,66.47297051
50,LICANTEN,2021,63.33150928
51,LITUECHE,2017,46.47537908
51,LITUECHE,2018,17.73304247
51,LITUECHE,2019,18.64287301
51,LITUECHE,2020,26.84935259
51,LITUECHE,2021,8.213560281
52,LOS ALAMOS,NA,NA
53,LOS MUERMOS,2017,26.69433181
53,LOS MUERMOS,2018,36.49718318
53,LOS MUERMOS,2019,28.64792983
53,LOS MUERMOS,2020,34.30219215
