"","rgn_id","rgn_name","Year","newXao"
"228",49,"Lebu",2017,0.418795978729831
"229",49,"Lebu",2018,0.495348078380345
"230",49,"Lebu",2019,0.194411055721817
"231",49,"Lebu",2020,0.473805469434014
"232",49,"Lebu",2021,0.486254849219852
"233",50,"Licanten",2017,0.24387427534055
"234",50,"Licanten",2018,0.409211126391357
"235",50,"Licanten",2019,0.389558120558779
"236",50,"Licanten",2020,0.753580146566935
"237",50,"Licanten",2021,0.825758563539397
"238",51,"Litueche",2017,0.483705175426402
"239",51,"Litueche",2018,0.185078607112101
"240",51,"Litueche",2019,0.205043576564298
"241",51,"Litueche",2020,0.280825357804669
"242",51,"Litueche",2021,0.141060005712631
"243",53,"Los Muermos",2017,0.320013138790287
"244",53,"Los Muermos",2018,0.398142367919179
"245",53,"Los Muermos",2019,0.292959544614846
"246",53,"Los Muermos",2020,0.324247496073097
"247",53,"Los Muermos",2021,0.63680029659908
"248",54,"Los vilos",2017,0.439455188002668
"249",54,"Los vilos",2018,0.335026697718178
"250",54,"Los vilos",2019,0.119656130582868
"251",54,"Los vilos",2020,0.408992435785934
"252",54,"Los vilos",2021,0.271793088303208
"253",55,"Lota",2017,0.379141582863535
"254",55,"Lota",2018,0.161493311158797
"255",55,"Lota",2019,0.341674464922543
"256",55,"Lota",2020,0.315879384168467
"257",55,"Lota",2021,0.511715526612393
"258",56,"Mariquina",2017,0.0841702728081744
"259",56,"Mariquina",2018,0.427251682034311
"260",56,"Mariquina",2019,0.347565660463397
"261",56,"Mariquina",2020,0.213317549488169
"262",56,"Mariquina",2021,0.346148208958081
"263",57,"Maullin",2017,0.157334650441465
"264",57,"Maullin",2018,0.287534007323502
"265",57,"Maullin",2019,0.399068903184762
"266",57,"Maullin",2020,0.253438659684445
"267",57,"Maullin",2021,0.105698008168056
"268",58,"Mejillones",2017,0.414105092784966
"269",58,"Mejillones",2018,0.302888050279207
"270",58,"Mejillones",2019,0.114125460845735
"271",58,"Mejillones",2020,0.359511139647235
"272",58,"Mejillones",2021,0.515933057447939
"273",59,"Natales",2017,0.658306609812955
"274",59,"Natales",2018,0.643226004282741
"275",59,"Natales",2019,0.580568421059102
"276",59,"Natales",2020,0.635878117483302
"277",59,"Natales",2021,0.348743974512108
"278",60,"Navidad",2017,0.503329824610371
"279",60,"Navidad",2018,0.367566275869678
"280",60,"Navidad",2019,0.313950601409579
"281",60,"Navidad",2020,0.160980247297671
"282",60,"Navidad",2021,0.1528312351695
"283",61,"Ovalle",2017,0.541075264814497
"284",61,"Ovalle",2018,0.276790371835197
"285",61,"Ovalle",2019,0.2896687385419
"286",61,"Ovalle",2020,0.270351995944686
"287",61,"Ovalle",2021,0.359798502854511
"288",62,"Papudo",2017,0.432680702797806
"289",62,"Papudo",2018,0.238582303164546
"290",62,"Papudo",2019,0.133653023786768
"291",62,"Papudo",2020,0.322935604298058
"292",62,"Papudo",2021,0.272244657502157
"293",63,"Paredones",2017,0.588405080092865
"294",63,"Paredones",2018,0.337570662781095
"295",63,"Paredones",2019,0.317785033248754
"296",63,"Paredones",2020,0.473815091712459
"297",63,"Paredones",2021,0.490479146821034
"298",64,"Pelluhue",2017,0.272788586597846
"299",64,"Pelluhue",2018,0.582129247157141
"300",64,"Pelluhue",2019,0.338732932631374
"301",64,"Pelluhue",2020,0.431118173557323
"302",64,"Pelluhue",2021,0.428158730549876
"303",65,"Penco",2017,0.384538007776058
"304",65,"Penco",2018,0.108594950012086
"305",65,"Penco",2019,0.440362007743871
"306",65,"Penco",2020,0.198199206321717
"307",65,"Penco",2021,0.144561127553028
"308",66,"Pichilemu",2017,0.455389245595042
"309",66,"Pichilemu",2018,0.429328552771879
"310",66,"Pichilemu",2019,0.144547905486171
"311",66,"Pichilemu",2020,0.212551820983406
"312",66,"Pichilemu",2021,0.324166538140316
"313",67,"Porvenir",2017,0.782461758074202
"314",67,"Porvenir",2018,0.618788895703904
"315",67,"Porvenir",2019,0.643656149962586
"316",67,"Porvenir",2020,0.507341738545974
"317",67,"Porvenir",2021,0.299525615948808
"318",69,"Puchuncavi",2017,0.457995695055782
"319",69,"Puchuncavi",2018,0.42956064578414
"320",69,"Puchuncavi",2019,0.13339804754528
"321",69,"Puchuncavi",2020,0.492872077178203
"322",69,"Puchuncavi",2021,0.30108199815405
"323",70,"Puerto Montt",2017,0.573509373720327
"324",70,"Puerto Montt",2018,0.40935651838241
"325",70,"Puerto Montt",2019,0.238785278323887
"326",70,"Puerto Montt",2020,0.35427920122877
"327",70,"Puerto Montt",2021,0.229691142612036
"328",71,"Puerto Varas",2017,0.407710672108487
