rgn_id;rgn_name;habitat;2017;2018;2019;2020;2021
42;Huasco;Bentonico;1550.342538;1550.342538;1550.342538;1550.342538;1550.342538
42;Huasco;Litoral;151.3020012;151.3020012;151.3020012;151.3020012;151.3020012
43;Iquique;Bentonico;3423.573879;3423.573879;3423.573879;3423.573879;3423.573879
43;Iquique;Litoral;254.8968587;254.8968587;254.8968587;254.8968587;254.8968587
44;La higuera;Bentonico;1491.088134;1491.088134;1491.088134;1491.088134;1491.088134
44;La higuera;Litoral;68.09829195;68.09829195;68.09829195;68.09829195;68.09829195
44;La higuera;Zona de surgencia;544.8861726;544.8861726;544.8861726;544.8861726;544.8861726
45;La ligua;Bentonico;578.5217983;578.5217983;578.5217983;578.5217983;578.5217983
45;La ligua;Litoral;59.9538915;59.9538915;59.9538915;59.9538915;59.9538915
46;La serena;Bentonico;1008.883476;1008.883476;1008.883476;1008.883476;1008.883476
46;La serena;Litoral;77.00945961;77.00945961;77.00945961;77.00945961;77.00945961
47;La union;Bentonico;495.875529;495.875529;495.875529;495.875529;495.875529
47;La union;Litoral;85.88362702;85.88362702;85.88362702;85.88362702;85.88362702
48;Laguna Blanca;Senos;161.0372806;161.0372806;161.0372806;161.0372806;161.0372806
49;Lebu;Bentonico;955.5278136;955.5278136;955.5278136;955.5278136;955.5278136
49;Lebu;Litoral;96.97838709;96.97838709;96.97838709;96.97838709;96.97838709
50;Licanten;Bentonico;210.7081453;210.7081453;210.7081453;210.7081453;210.7081453
50;Licanten;Litoral;18.71706388;18.71706388;18.71706388;18.71706388;18.71706388
51;Litueche;Bentonico;253.9853954;253.9853954;253.9853954;253.9853954;253.9853954
51;Litueche;Litoral;25.97725979;25.97725979;25.97725979;25.97725979;25.97725979
52;Los alamos;Bentonico;126.0482378;126.0482378;126.0482378;126.0482378;126.0482378
52;Los alamos;Litoral;22.794718;22.794718;22.794718;22.794718;22.794718
53;Los Muermos;Bentonico;339.0742116;339.0742116;339.0742116;339.0742116;339.0742116
53;Los Muermos;Costa expuesta;214.6509788;214.6509788;214.6509788;214.6509788;214.6509788
53;Los Muermos;Litoral;76.64701956;76.64701956;76.64701956;76.64701956;76.64701956
54;Los vilos;Bentonico;1147.056592;1147.056592;1147.056592;1147.056592;1147.056592
54;Los vilos;Litoral;101.1616592;101.1616592;101.1616592;101.1616592;101.1616592
55;Lota;Bentonico;75.91157467;75.91157467;75.91157467;75.91157467;75.91157467
55;Lota;Zona de surgencia;516.5257745;516.5257745;516.5257745;516.5257745;516.5257745
56;Mariquina;Bentonico;486.6861934;486.6861934;486.6861934;486.6861934;486.6861934
56;Mariquina;Litoral;243.6515348;243.6515348;243.6515348;243.6515348;243.6515348
57;Maullin;Costa expuesta;890.2306685;890.2306685;890.2306685;890.2306685;890.2306685
